name,Inf_0,Inf_1,Inf_2,Inf_3,Inf_4,Inf_5,Inf_6,Inf_7,Inf_8,Inf_9,Inf_10,Inf_11,Inf_12
похимичить,сов,неп,,НБII1,П1,Пв3,С,,,ППД1в,,,ДП3
похищаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
похрумкать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
похрумкивать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
похужеть,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
почапать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
починивать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
почуяться,сов,неп,,НБI5,П1,Пв1,С,,,ППД1в,,,ДП2
пошелохнуться,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
пошинковать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
пошлить,нес,неп,,НБII2,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
пошмонать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
пошукать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
пощупывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
поэкспериментировать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
прессинговать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
пресытить,сов,пер,,НБII3щ,П1,Пв3,С,,,ППД1в,ППС2,,ДП2
прибарахлиться,сов,неп,,НБII2,П1,Пв2!,С,,,ППД1в,,,ДП2
приблатниться,сов,неп,,НБII2,П1,Пв2!,С,,,ППД1в,,,ДП2
приватизироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
приводнить,сов,пер,,НБII2,П1,Пв2!,С,,,ППД1в,ППС2,,ДП2
приводнять,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
прикемарить,сов,неп,,НБII2,П1,Пв3,С,,,ППД1в,,,ДП2
прикимарить,сов,неп,,НБII2,П1,Пв3,С,,,ППД1в,,,ДП2
прикопаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
примагнитить,сов,пер,,НБII3ч,П1,Пв3,С,,,ППД1в,ППС2,,ДП2
примагничивать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
примагничиваться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
примитизировать,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
припарковаться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
припарковывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
припарковываться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
припивать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
пристыковать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
пристыковаться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
пристыковывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
пристыковываться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
притаранить,сов,пер,,НБII2,П1,Пв3,С,,,ППД1в,ППС2,,ДП2
пришпандориваться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
проанкетировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
проанонсировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
пробарахтаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
пробздеться,сов,неп,,НБII3-,П1,Пв2!,С,,,ППД1в,,,ДП2
прогнозироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
программироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
прогрипповать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
